,goog_publishedat,goog_sentiment,goog_sentiment_score
428,2025-07-21,negative,0.999703586101532
429,2025-07-21,positive,1.0
430,2025-07-21,positive,0.9735042452812195
431,2025-07-21,neutral,0.0
432,2025-07-20,negative,0.6988362669944763
433,2025-07-20,neutral,0.0
434,2025-07-20,neutral,0.0
435,2025-07-20,neutral,0.0
436,2025-07-20,negative,0.920620858669281
437,2025-07-19,neutral,0.0
438,2025-07-19,positive,0.9999575614929199
439,2025-07-19,positive,0.9952254295349121
440,2025-07-19,neutral,0.0
441,2025-07-19,neutral,0.0
442,2025-07-18,neutral,0.0
443,2025-07-18,neutral,0.0
444,2025-07-18,neutral,0.0
445,2025-07-18,neutral,0.0
446,2025-07-18,neutral,0.0
447,2025-07-17,neutral,0.0
448,2025-07-17,neutral,0.0
449,2025-07-17,neutral,0.0
450,2025-07-17,neutral,0.0
451,2025-07-17,neutral,0.0
452,2025-07-16,neutral,0.0
453,2025-07-16,neutral,0.0
454,2025-07-16,neutral,0.0
455,2025-07-16,negative,0.999930739402771
456,2025-07-16,neutral,0.0
457,2025-07-15,positive,0.9987603425979614
458,2025-07-15,neutral,0.0
459,2025-07-15,neutral,0.0
460,2025-07-15,neutral,0.0
461,2025-07-15,neutral,0.0
462,2025-07-14,neutral,0.0
463,2025-07-14,negative,0.7714861631393433
464,2025-07-14,neutral,0.0
465,2025-07-14,neutral,0.0
466,2025-07-14,neutral,0.0
467,2025-07-13,neutral,0.0
468,2025-07-13,neutral,0.0
469,2025-07-13,neutral,0.0
470,2025-07-13,neutral,0.0
471,2025-07-13,neutral,0.0
472,2025-07-12,neutral,0.0
473,2025-07-12,neutral,0.0
474,2025-07-12,neutral,0.0
475,2025-07-12,negative,0.9999521970748901
476,2025-07-12,neutral,0.0
477,2025-07-11,neutral,0.0
478,2025-07-11,neutral,0.0
479,2025-07-11,neutral,0.0
480,2025-07-11,positive,0.9889761209487915
481,2025-07-11,neutral,0.0
482,2025-07-10,neutral,0.0
483,2025-07-10,neutral,0.0
484,2025-07-10,negative,0.9999462366104126
485,2025-07-10,neutral,0.0
486,2025-07-10,neutral,0.0
487,2025-07-09,neutral,0.0
488,2025-07-09,neutral,0.0
489,2025-07-09,positive,0.96916663646698
490,2025-07-09,neutral,0.0
491,2025-07-09,neutral,0.0
492,2025-07-08,neutral,0.0
493,2025-07-08,positive,0.9959626793861389
494,2025-07-08,neutral,0.0
495,2025-07-08,neutral,0.0
496,2025-07-08,positive,0.9999998807907104
497,2025-07-07,neutral,0.0
498,2025-07-07,neutral,0.0
499,2025-07-07,negative,0.9993300437927246
500,2025-07-07,negative,0.9972608089447021
501,2025-07-07,positive,0.9998034834861755
502,2025-07-06,positive,0.9999423027038574
503,2025-07-06,neutral,0.0
504,2025-07-06,negative,0.8966973423957825
505,2025-07-06,negative,0.9997971653938293
506,2025-07-06,positive,0.7869879603385925
507,2025-07-05,neutral,0.0
508,2025-07-05,neutral,0.0
509,2025-07-05,neutral,0.0
510,2025-07-05,negative,0.9999321699142456
511,2025-07-05,neutral,0.0
512,2025-07-04,neutral,0.0
513,2025-07-04,neutral,0.0
514,2025-07-04,neutral,0.0
515,2025-07-04,neutral,0.0
516,2025-07-04,neutral,0.0
517,2025-07-03,neutral,0.0
518,2025-07-03,positive,0.7704203724861145
519,2025-07-03,neutral,0.0
520,2025-07-03,neutral,0.0
521,2025-07-03,neutral,0.0
522,2025-07-02,neutral,0.0
523,2025-07-02,neutral,0.0
524,2025-07-02,neutral,0.0
525,2025-07-02,neutral,0.0
526,2025-07-02,neutral,0.0
527,2025-07-01,negative,0.8020289540290833
528,2025-07-01,positive,1.0
529,2025-07-01,negative,0.9684905409812927
530,2025-07-01,negative,0.9999996423721313
531,2025-07-01,neutral,0.0
532,2025-06-30,neutral,0.0
533,2025-06-30,neutral,0.0
534,2025-06-30,neutral,0.0
